Seq_id	Size	Description
88	459923	scaffold_87
89	458167	scaffold_88
90	456890	scaffold_89
91	456651	scaffold_90
92	455798	scaffold_91
93	453859	scaffold_92
94	452634	scaffold_93
95	449716	scaffold_94
96	449541	scaffold_95
97	448061	scaffold_96
98	443445	scaffold_97
99	443418	scaffold_98
100	441866	scaffold_99
101	437443	scaffold_100
102	437204	scaffold_101
103	432004	scaffold_102
104	430412	scaffold_103
105	428687	scaffold_104
106	427558	scaffold_105
107	426470	scaffold_106
108	423394	scaffold_107
109	416933	scaffold_108
110	414765	scaffold_109
111	412676	scaffold_110
112	408011	scaffold_111
113	404893	scaffold_112
114	403650	scaffold_113
115	403046	scaffold_114
116	402797	scaffold_115
117	402396	scaffold_116
118	401053	scaffold_117
119	396642	scaffold_118
120	396468	scaffold_119
121	394992	scaffold_120
122	394599	scaffold_121
123	394544	scaffold_122
124	393445	scaffold_123
125	392903	scaffold_124
126	391709	scaffold_125
127	389092	scaffold_126
128	386844	scaffold_127
129	386828	scaffold_128
130	385767	scaffold_129
131	385678	scaffold_130
132	376164	scaffold_131
133	376012	scaffold_132
134	375142	scaffold_133
135	373691	scaffold_134
136	373429	scaffold_135
137	373134	scaffold_136
138	372871	scaffold_137
139	371485	scaffold_138
140	369582	scaffold_139
141	369268	scaffold_140
142	368643	scaffold_141
143	368185	scaffold_142
144	366756	scaffold_143
145	366591	scaffold_144
146	365328	scaffold_145
147	365143	scaffold_146
148	364580	scaffold_147
149	361223	scaffold_148
150	359893	scaffold_149
151	354017	scaffold_150
152	353645	scaffold_151
153	352431	scaffold_152
154	351081	scaffold_153
155	348346	scaffold_154
156	347799	scaffold_155
157	344521	scaffold_156
158	341120	scaffold_157
159	339531	scaffold_158
160	339234	scaffold_159
161	338472	scaffold_160
162	337859	scaffold_161
163	334224	scaffold_162
164	332407	scaffold_163
165	332252	scaffold_164
166	331862	scaffold_165
167	331077	scaffold_166
168	330202	scaffold_167
169	329027	scaffold_168
170	328917	scaffold_169
171	327578	scaffold_170
172	326986	scaffold_171
173	326333	scaffold_172
174	326330	scaffold_173
175	323856	scaffold_174
176	323105	scaffold_175
177	322550	scaffold_176
178	321539	scaffold_177
179	321086	scaffold_178
180	319597	scaffold_179
181	314273	scaffold_180
182	313872	scaffold_181
183	311277	scaffold_182
184	310956	scaffold_183
185	310552	scaffold_184
186	310523	scaffold_185
187	309945	scaffold_186
188	307237	scaffold_187
189	307020	scaffold_188
190	306991	scaffold_189
191	306455	scaffold_190
192	304862	scaffold_191
193	304533	scaffold_192
194	303292	scaffold_193
195	302897	scaffold_194
196	302838	scaffold_195
197	301443	scaffold_196
198	298682	scaffold_197
199	297758	scaffold_198
200	296931	scaffold_199
201	296761	scaffold_200
202	296537	scaffold_201
203	296263	scaffold_202
204	294978	scaffold_203
205	293698	scaffold_204
206	293139	scaffold_205
207	291010	scaffold_206
208	290370	scaffold_207
209	289386	scaffold_208
210	286549	scaffold_209
211	285781	scaffold_210
212	281563	scaffold_211
213	281370	scaffold_212
214	280485	scaffold_213
215	280424	scaffold_214
216	277130	scaffold_215
217	275896	scaffold_216
218	275671	scaffold_217
219	275576	scaffold_218
220	275331	scaffold_219
221	274501	scaffold_220
222	274457	scaffold_221
223	274411	scaffold_222
224	273989	scaffold_223
225	273967	scaffold_224
226	271887	scaffold_225
227	271292	scaffold_226
228	270991	scaffold_227
229	270218	scaffold_228
230	268789	scaffold_229
231	267576	scaffold_230
232	267305	scaffold_231
233	265448	scaffold_232
234	263769	scaffold_233
235	263657	scaffold_234
236	263427	scaffold_235
237	263314	scaffold_236
238	261873	scaffold_237
239	261621	scaffold_238
240	260559	scaffold_239
241	260259	scaffold_240
242	259950	scaffold_241
243	259702	scaffold_242
244	259366	scaffold_243
245	258813	scaffold_244
246	256897	scaffold_245
247	253077	scaffold_246
248	250487	scaffold_247
249	249771	scaffold_248
250	248950	scaffold_249
251	248930	scaffold_250
252	248689	scaffold_251
253	248232	scaffold_252
254	246978	scaffold_253
255	244934	scaffold_254
256	244352	scaffold_255
257	243501	scaffold_256
258	242754	scaffold_257
259	241838	scaffold_258
260	241370	scaffold_259
261	241054	scaffold_260
262	240878	scaffold_261
263	240443	scaffold_262
264	239465	scaffold_263
265	239009	scaffold_264
266	238856	scaffold_265
267	238212	scaffold_266
268	238110	scaffold_267
269	236978	scaffold_268
270	236107	scaffold_269
271	235901	scaffold_270
272	233811	scaffold_271
273	233742	scaffold_272
274	232990	scaffold_273
275	230521	scaffold_274
276	229940	scaffold_275
277	227470	scaffold_276
278	225892	scaffold_277
279	223824	scaffold_278
280	223533	scaffold_279
281	223023	scaffold_280
282	222565	scaffold_281
283	221560	scaffold_282
284	219079	scaffold_283
285	218745	scaffold_284
286	218223	scaffold_285
287	218134	scaffold_286
288	217836	scaffold_287
289	217542	scaffold_288
290	217275	scaffold_289
291	213489	scaffold_290
292	213371	scaffold_291
293	212710	scaffold_292
294	212369	scaffold_293
295	212237	scaffold_294
296	211768	scaffold_295
297	211516	scaffold_296
298	211243	scaffold_297
299	210361	scaffold_298
300	209881	scaffold_299
301	209012	scaffold_300
302	208756	scaffold_301
303	207817	scaffold_302
304	207335	scaffold_303
305	207038	scaffold_304
306	206933	scaffold_305
307	206829	scaffold_306
308	206520	scaffold_307
309	204989	scaffold_308
310	204865	scaffold_309
311	204750	scaffold_310
312	204353	scaffold_311
313	204108	scaffold_312
314	203802	scaffold_313
315	203022	scaffold_314
316	202406	scaffold_315
317	202238	scaffold_316
318	202083	scaffold_317
319	201819	scaffold_318
320	201514	scaffold_319
321	201002	scaffold_320
322	200164	scaffold_321
323	198977	scaffold_322
324	198618	scaffold_323
325	196379	scaffold_324
326	196277	scaffold_325
327	195666	scaffold_326
328	195588	scaffold_327
329	194786	scaffold_328
330	193792	scaffold_329
331	193343	scaffold_330
332	193074	scaffold_331
333	193022	scaffold_332
334	192932	scaffold_333
335	192926	scaffold_334
336	192755	scaffold_335
337	192561	scaffold_336
338	190775	scaffold_337
339	190471	scaffold_338
340	189866	scaffold_339
341	189833	scaffold_340
342	189581	scaffold_341
343	188616	scaffold_342
344	188547	scaffold_343
345	187056	scaffold_344
346	186762	scaffold_345
347	185521	scaffold_346
348	185380	scaffold_347
349	184281	scaffold_348
350	184132	scaffold_349
351	182795	scaffold_350
352	182182	scaffold_351
353	181994	scaffold_352
354	181595	scaffold_353
355	180282	scaffold_354
356	178425	scaffold_355
357	178409	scaffold_356
358	176438	scaffold_357
359	176267	scaffold_358
360	175869	scaffold_359
361	175801	scaffold_360
362	175747	scaffold_361
363	175607	scaffold_362
364	175473	scaffold_363
365	174678	scaffold_364
366	174557	scaffold_365
367	173808	scaffold_366
368	172771	scaffold_367
369	171898	scaffold_368
370	171821	scaffold_369
371	171554	scaffold_370
372	171512	scaffold_371
373	171509	scaffold_372
374	171299	scaffold_373
375	170690	scaffold_374
376	170261	scaffold_375
377	170133	scaffold_376
378	169994	scaffold_377
379	169740	scaffold_378
380	169733	scaffold_379
381	169424	scaffold_380
382	169106	scaffold_381
383	169095	scaffold_382
384	168589	scaffold_383
385	168547	scaffold_384
386	168371	scaffold_385
387	167964	scaffold_386
388	167775	scaffold_387
389	167754	scaffold_388
390	167735	scaffold_389
391	167565	scaffold_390
392	166887	scaffold_391
393	166331	scaffold_392
394	165960	scaffold_393
395	165231	scaffold_394
396	164874	scaffold_395
397	164381	scaffold_396
398	163567	scaffold_397
399	162151	scaffold_398
400	161084	scaffold_399
401	160862	scaffold_400
402	160632	scaffold_401
403	160506	scaffold_402
404	159401	scaffold_403
405	159226	scaffold_404
406	159114	scaffold_405
407	158699	scaffold_406
408	158665	scaffold_407
409	158186	scaffold_408
410	157359	scaffold_409
411	156946	scaffold_410
412	156292	scaffold_411
413	156179	scaffold_412
414	155816	scaffold_413
415	154890	scaffold_414
416	154664	scaffold_415
417	154335	scaffold_416
418	153455	scaffold_417
419	152709	scaffold_418
420	152617	scaffold_419
421	152336	scaffold_420
422	151814	scaffold_421
423	151574	scaffold_422
424	151423	scaffold_423
425	151415	scaffold_424
426	151321	scaffold_425
427	151131	scaffold_426
428	150920	scaffold_427
429	150363	scaffold_428
430	149840	scaffold_429
431	149350	scaffold_430
432	149241	scaffold_431
433	149118	scaffold_432
434	148134	scaffold_433
435	147687	scaffold_434
436	147643	scaffold_435
437	147522	scaffold_436
438	146596	scaffold_437
439	145906	scaffold_438
440	145559	scaffold_439
441	145205	scaffold_440
442	144206	scaffold_441
443	143009	scaffold_442
444	142954	scaffold_443
445	142400	scaffold_444
446	142314	scaffold_445
447	142243	scaffold_446
448	141918	scaffold_447
449	141631	scaffold_448
450	141068	scaffold_449
451	140178	scaffold_450
452	140168	scaffold_451
453	139572	scaffold_452
454	139440	scaffold_453
455	139125	scaffold_454
456	138390	scaffold_455
457	138373	scaffold_456
458	138071	scaffold_457
459	137558	scaffold_458
460	137528	scaffold_459
461	137426	scaffold_460
462	136615	scaffold_461
463	136330	scaffold_462
464	135832	scaffold_463
465	135359	scaffold_464
466	135236	scaffold_465
467	135102	scaffold_466
468	134962	scaffold_467
469	134836	scaffold_468
470	134802	scaffold_469
471	134075	scaffold_470
472	133709	scaffold_471
473	133631	scaffold_472
474	133204	scaffold_473
475	132509	scaffold_474
476	132479	scaffold_475
477	132112	scaffold_476
478	131523	scaffold_477
479	131507	scaffold_478
480	131247	scaffold_479
481	130923	scaffold_480
482	130768	scaffold_481
483	130524	scaffold_482
484	129801	scaffold_483
485	129394	scaffold_484
486	129304	scaffold_485
487	129300	scaffold_486
488	128706	scaffold_487
489	128061	scaffold_488
490	126895	scaffold_489
491	126411	scaffold_490
492	126061	scaffold_491
493	125963	scaffold_492
494	125869	scaffold_493
495	125525	scaffold_494
496	125487	scaffold_495
497	125136	scaffold_496
498	124991	scaffold_497
499	124404	scaffold_498
500	124327	scaffold_499
501	123455	scaffold_500
502	123019	scaffold_501
503	122670	scaffold_502
504	122565	scaffold_503
505	122446	scaffold_504
506	121916	scaffold_505
507	121870	scaffold_506
508	121020	scaffold_507
509	120918	scaffold_508
510	120693	scaffold_509
511	120598	scaffold_510
512	120465	scaffold_511
513	120132	scaffold_512
514	119991	scaffold_513
515	119952	scaffold_514
516	119815	scaffold_515
517	119775	scaffold_516
518	119401	scaffold_517
519	119329	scaffold_518
520	119142	scaffold_519
521	118825	scaffold_520
522	118807	scaffold_521
523	118546	scaffold_522
524	118455	scaffold_523
525	118215	scaffold_524
526	117556	scaffold_525
527	117368	scaffold_526
528	117187	scaffold_527
529	117061	scaffold_528
530	116982	scaffold_529
531	116678	scaffold_530
532	116585	scaffold_531
533	116368	scaffold_532
534	116222	scaffold_533
535	116179	scaffold_534
536	116056	scaffold_535
537	115733	scaffold_536
538	115583	scaffold_537
539	115118	scaffold_538
540	114847	scaffold_539
541	114316	scaffold_540
542	113786	scaffold_541
543	113668	scaffold_542
544	113373	scaffold_543
545	113223	scaffold_544
546	112517	scaffold_545
547	112325	scaffold_546
548	111952	scaffold_547
549	111942	scaffold_548
550	110771	scaffold_549
551	110158	scaffold_550
552	110085	scaffold_551
553	109267	scaffold_552
554	109051	scaffold_553
555	108695	scaffold_554
556	108405	scaffold_555
557	108005	scaffold_556
558	107998	scaffold_557
559	107637	scaffold_558
560	107413	scaffold_559
561	107384	scaffold_560
562	106949	scaffold_561
563	106642	scaffold_562
564	106503	scaffold_563
565	106493	scaffold_564
566	106391	scaffold_565
567	106108	scaffold_566
568	106055	scaffold_567
569	105694	scaffold_568
570	105306	scaffold_569
571	105199	scaffold_570
572	105100	scaffold_571
573	104863	scaffold_572
574	103859	scaffold_573
575	103757	scaffold_574
576	103572	scaffold_575
577	103381	scaffold_576
578	103356	scaffold_577
579	103243	scaffold_578
580	103056	scaffold_579
581	102298	scaffold_580
582	101883	scaffold_581
583	101767	scaffold_582
584	101692	scaffold_583
585	100941	scaffold_584
586	100764	scaffold_585
587	100469	scaffold_586
588	100373	scaffold_587
589	100004	scaffold_588
590	99027	scaffold_589
591	98883	scaffold_590
592	98730	scaffold_591
593	98271	scaffold_592
594	97765	scaffold_593
595	97597	scaffold_594
596	97491	scaffold_595
597	97089	scaffold_596
598	96665	scaffold_597
599	96377	scaffold_598
600	96191	scaffold_599
601	96124	scaffold_600
602	95896	scaffold_601
603	95643	scaffold_602
604	95506	scaffold_603
605	95034	scaffold_604
606	94897	scaffold_605
607	94860	scaffold_606
608	94456	scaffold_607
609	94431	scaffold_608
610	94405	scaffold_609
611	94235	scaffold_610
612	93702	scaffold_611
613	93077	scaffold_612
614	92911	scaffold_613
615	92554	scaffold_614
616	92458	scaffold_615
617	91180	scaffold_616
618	90902	scaffold_617
619	90892	scaffold_618
620	90739	scaffold_619
621	90541	scaffold_620
622	89883	scaffold_621
623	89874	scaffold_622
624	89818	scaffold_623
625	89255	scaffold_624
626	88972	scaffold_625
627	88872	scaffold_626
628	88428	scaffold_627
629	88268	scaffold_628
630	88071	scaffold_629
631	87770	scaffold_630
632	87758	scaffold_631
633	87348	scaffold_632
634	87321	scaffold_633
635	87290	scaffold_634
636	86921	scaffold_635
637	86871	scaffold_636
638	86212	scaffold_637
639	86137	scaffold_638
640	86075	scaffold_639
641	85810	scaffold_640
642	85361	scaffold_641
643	85190	scaffold_642
644	84813	scaffold_643
645	84481	scaffold_644
646	84403	scaffold_645
647	84345	scaffold_646
648	84105	scaffold_647
649	84094	scaffold_648
650	84072	scaffold_649
651	83907	scaffold_650
652	83751	scaffold_651
653	83325	scaffold_652
654	82800	scaffold_653
655	82348	scaffold_654
656	82254	scaffold_655
657	82252	scaffold_656
658	82229	scaffold_657
659	82173	scaffold_658
660	82089	scaffold_659
661	81991	scaffold_660
662	81806	scaffold_661
663	81466	scaffold_662
664	81346	scaffold_663
665	80808	scaffold_664
666	80561	scaffold_665
667	80306	scaffold_666
668	79907	scaffold_667
669	79604	scaffold_668
670	79468	scaffold_669
671	79376	scaffold_670
672	79118	scaffold_671
673	79017	scaffold_672
674	78958	scaffold_673
675	78597	scaffold_674
676	78466	scaffold_675
677	78380	scaffold_676
678	78064	scaffold_677
679	77936	scaffold_678
680	77933	scaffold_679
681	77846	scaffold_680
682	77746	scaffold_681
683	77508	scaffold_682
684	76837	scaffold_683
685	76518	scaffold_684
686	76463	scaffold_685
687	76277	scaffold_686
688	76114	scaffold_687
689	75501	scaffold_688
690	75039	scaffold_689
691	74975	scaffold_690
692	74735	scaffold_691
693	74690	scaffold_692
694	74629	scaffold_693
695	74335	scaffold_694
696	74164	scaffold_695
697	73730	scaffold_696
698	73447	scaffold_697
699	72959	scaffold_698
700	72864	scaffold_699
701	72735	scaffold_700
702	72406	scaffold_701
703	72329	scaffold_702
704	72293	scaffold_703
705	72237	scaffold_704
706	72138	scaffold_705
707	72077	scaffold_706
708	71244	scaffold_707
709	71191	scaffold_708
710	70995	scaffold_709
711	70879	scaffold_710
712	70856	scaffold_711
713	70773	scaffold_712
714	70083	scaffold_713
715	70037	scaffold_714
716	69763	scaffold_715
717	68801	scaffold_716
718	68663	scaffold_717
719	68616	scaffold_718
720	68538	scaffold_719
721	68386	scaffold_720
722	68222	scaffold_721
723	68127	scaffold_722
724	67835	scaffold_723
725	67710	scaffold_724
726	67701	scaffold_725
727	67517	scaffold_726
728	67430	scaffold_727
729	66673	scaffold_728
730	66486	scaffold_729
731	66279	scaffold_730
732	65890	scaffold_731
733	64896	scaffold_732
734	64815	scaffold_733
735	64596	scaffold_734
736	64565	scaffold_735
737	64348	scaffold_736
738	64261	scaffold_737
739	64197	scaffold_738
740	64179	scaffold_739
741	63924	scaffold_740
742	63767	scaffold_741
743	63663	scaffold_742
744	63521	scaffold_743
745	63308	scaffold_744
746	63280	scaffold_745
747	63103	scaffold_746
748	62712	scaffold_747
749	62677	scaffold_748
750	62605	scaffold_749
751	62581	scaffold_750
752	62516	scaffold_751
753	62406	scaffold_752
754	61662	scaffold_753
755	61650	scaffold_754
756	60935	scaffold_755
757	60905	scaffold_756
758	60882	scaffold_757
759	60246	scaffold_758
760	59885	scaffold_759
761	59857	scaffold_760
762	59738	scaffold_761
763	59644	scaffold_762
764	59281	scaffold_763
765	58935	scaffold_764
766	58829	scaffold_765
767	58771	scaffold_766
768	58634	scaffold_767
769	58625	scaffold_768
770	58594	scaffold_769
771	58504	scaffold_770
772	58340	scaffold_771
773	57678	scaffold_772
774	57521	scaffold_773
775	57411	scaffold_774
776	57242	scaffold_775
777	56943	scaffold_776
778	56876	scaffold_777
779	56787	scaffold_778
780	56718	scaffold_779
781	56675	scaffold_780
782	56378	scaffold_781
783	56254	scaffold_782
784	56236	scaffold_783
785	56177	scaffold_784
786	55920	scaffold_785
787	55811	scaffold_786
788	55702	scaffold_787
789	55667	scaffold_788
790	55610	scaffold_789
791	55532	scaffold_790
792	55468	scaffold_791
793	54618	scaffold_792
794	54480	scaffold_793
795	54378	scaffold_794
796	53626	scaffold_795
797	53133	scaffold_796
798	52911	scaffold_797
799	52716	scaffold_798
800	52471	scaffold_799
801	52435	scaffold_800
802	52253	scaffold_801
803	52189	scaffold_802
804	52139	scaffold_803
805	51878	scaffold_804
806	51833	scaffold_805
807	51797	scaffold_806
808	51731	scaffold_807
809	51675	scaffold_808
810	51528	scaffold_809
811	51373	scaffold_810
812	51150	scaffold_811
813	50863	scaffold_812
814	50825	scaffold_813
815	50444	scaffold_814
816	50336	scaffold_815
817	50252	scaffold_816
818	50236	scaffold_817
819	50184	scaffold_818
820	50081	scaffold_819
821	50059	scaffold_820
822	50017	scaffold_821
823	49965	scaffold_822
824	49746	scaffold_823
825	49644	scaffold_824
826	49566	scaffold_825
827	48968	scaffold_826
828	48416	scaffold_827
829	47996	scaffold_828
830	47987	scaffold_829
831	47985	scaffold_830
832	47940	scaffold_831
833	47859	scaffold_832
834	47654	scaffold_833
835	47486	scaffold_834
836	47353	scaffold_835
837	47301	scaffold_836
838	47238	scaffold_837
839	47023	scaffold_838
840	46622	scaffold_839
841	46552	scaffold_840
842	46453	scaffold_841
843	46083	scaffold_842
844	46064	scaffold_843
845	46062	scaffold_844
846	46033	scaffold_845
847	45841	scaffold_846
848	45714	scaffold_847
849	45591	scaffold_848
850	45559	scaffold_849
851	45519	scaffold_850
852	45252	scaffold_851
853	45245	scaffold_852
854	45087	scaffold_853
855	44998	scaffold_854
856	44487	scaffold_855
857	44292	scaffold_856
858	44245	scaffold_857
859	44002	scaffold_858
860	43562	scaffold_859
861	43417	scaffold_860
862	43393	scaffold_861
863	43317	scaffold_862
864	43313	scaffold_863
865	43265	scaffold_864
866	43258	scaffold_865
867	43233	scaffold_866
868	43219	scaffold_867
869	42835	scaffold_868
870	42813	scaffold_869
871	42764	scaffold_870
872	42489	scaffold_871
873	42231	scaffold_872
874	42050	scaffold_873
875	42002	scaffold_874
876	41873	scaffold_875
877	41776	scaffold_876
878	41042	scaffold_877
879	41007	scaffold_878
880	40898	scaffold_879
881	40882	scaffold_880
882	40743	scaffold_881
883	40642	scaffold_882
884	40603	scaffold_883
885	40591	scaffold_884
886	40572	scaffold_885
887	40550	scaffold_886
888	40404	scaffold_887
889	40381	scaffold_888
890	40333	scaffold_889
891	40274	scaffold_890
892	40109	scaffold_891
893	40073	scaffold_892
894	40016	scaffold_893
895	39967	scaffold_894
896	39793	scaffold_895
897	39789	scaffold_896
898	39730	scaffold_897
899	39527	scaffold_898
900	39369	scaffold_899
901	38916	scaffold_900
902	38880	scaffold_901
903	38691	scaffold_902
904	38632	scaffold_903
905	38588	scaffold_904
906	38562	scaffold_905
907	38467	scaffold_906
908	38438	scaffold_907
909	38382	scaffold_908
910	38305	scaffold_909
911	38293	scaffold_910
912	37977	scaffold_911
913	37940	scaffold_912
914	37584	scaffold_913
915	37413	scaffold_914
916	37114	scaffold_915
917	37098	scaffold_916
918	36961	scaffold_917
919	36778	scaffold_918
920	36295	scaffold_919
921	35941	scaffold_920
922	35939	scaffold_921
923	35891	scaffold_922
924	35884	scaffold_923
925	35864	scaffold_924
926	35790	scaffold_925
927	35732	scaffold_926
928	35681	scaffold_927
929	35654	scaffold_928
930	35580	scaffold_929
931	34983	scaffold_930
932	34804	scaffold_931
933	34780	scaffold_932
934	34693	scaffold_933
935	34688	scaffold_934
936	34338	scaffold_935
937	34323	scaffold_936
938	34238	scaffold_937
939	34002	scaffold_938
940	33982	scaffold_939
941	33967	scaffold_940
942	33866	scaffold_941
943	33855	scaffold_942
944	33706	scaffold_943
945	33706	scaffold_944
946	33612	scaffold_945
947	33572	scaffold_946
948	33566	scaffold_947
949	33550	scaffold_948
950	33513	scaffold_949
951	33453	scaffold_950
952	33364	scaffold_951
953	33147	scaffold_952
954	33098	scaffold_953
955	33090	scaffold_954
956	33070	scaffold_955
957	33044	scaffold_956
958	32992	scaffold_957
959	32983	scaffold_958
960	32717	scaffold_959
961	32548	scaffold_960
962	32527	scaffold_961
963	32153	scaffold_962
964	32020	scaffold_963
965	31797	scaffold_964
966	31646	scaffold_965
967	31495	scaffold_966
968	31257	scaffold_967
969	31253	scaffold_968
970	31092	scaffold_969
971	31045	scaffold_970
972	30831	scaffold_971
973	30515	scaffold_972
974	30498	scaffold_973
975	30375	scaffold_974
976	30304	scaffold_975
977	30272	scaffold_976
978	30260	scaffold_977
979	30249	scaffold_978
980	30136	scaffold_979
981	30088	scaffold_980
982	30079	scaffold_981
983	29851	scaffold_982
984	29847	scaffold_983
985	29814	scaffold_984
986	29814	scaffold_985
987	29659	scaffold_986
988	29389	scaffold_987
989	29249	scaffold_988
990	29238	scaffold_989
991	29214	scaffold_990
992	29082	scaffold_991
993	28866	scaffold_992
994	28800	scaffold_993
995	28756	scaffold_994
996	28732	scaffold_995
997	28721	scaffold_996
998	28681	scaffold_997
999	28649	scaffold_998
1000	28547	scaffold_999
1001	28449	scaffold_1000
1002	28415	scaffold_1001
1003	28190	scaffold_1002
1004	28047	scaffold_1003
1005	27995	scaffold_1004
1006	27825	scaffold_1005
1007	27744	scaffold_1006
1008	27593	scaffold_1007
1009	27342	scaffold_1008
1010	27336	scaffold_1009
1011	27312	scaffold_1010
1012	27235	scaffold_1011
1013	27203	scaffold_1012
1014	27105	scaffold_1013
1015	27000	scaffold_1014
1016	26992	scaffold_1015
1017	26668	scaffold_1016
1018	26659	scaffold_1017
1019	26618	scaffold_1018
1020	26594	scaffold_1019
1021	26464	scaffold_1020
1022	26411	scaffold_1021
1023	26364	scaffold_1022
1024	26209	scaffold_1023
1025	26135	scaffold_1024
1026	25928	scaffold_1025
1027	25829	scaffold_1026
1028	25783	scaffold_1027
1029	25605	scaffold_1028
1030	25467	scaffold_1029
1031	25447	scaffold_1030
1032	25413	scaffold_1031
1033	25330	scaffold_1032
1034	25263	scaffold_1033
1035	25120	scaffold_1034
1036	25068	scaffold_1035
1037	24980	scaffold_1036
1038	24829	scaffold_1037
1039	24641	scaffold_1038
1040	24599	scaffold_1039
1041	24582	scaffold_1040
1042	24548	scaffold_1041
1043	24427	scaffold_1042
1044	24321	scaffold_1043
1045	24278	scaffold_1044
1046	24265	scaffold_1045
1047	23991	scaffold_1046
1048	23809	scaffold_1047
1049	23747	scaffold_1048
1050	23652	scaffold_1049
1051	23573	scaffold_1050
1052	23488	scaffold_1051
1053	23297	scaffold_1052
1054	23248	scaffold_1053
1055	23195	scaffold_1054
1056	23167	scaffold_1055
1057	23081	scaffold_1056
1058	22873	scaffold_1057
1059	22750	scaffold_1058
1060	22722	scaffold_1059
1061	22565	scaffold_1060
1062	22554	scaffold_1061
1063	22526	scaffold_1062
1064	22487	scaffold_1063
1065	22483	scaffold_1064
1066	22432	scaffold_1065
1067	22425	scaffold_1066
1068	22364	scaffold_1067
1069	22265	scaffold_1068
1070	22096	scaffold_1069
1071	22045	scaffold_1070
1072	21955	scaffold_1071
1073	21783	scaffold_1072
1074	21721	scaffold_1073
1075	21658	scaffold_1074
1076	21608	scaffold_1075
1077	21433	scaffold_1076
1078	21346	scaffold_1077
1079	21277	scaffold_1078
1080	21109	scaffold_1079
1081	21090	scaffold_1080
1082	21046	scaffold_1081
1083	21027	scaffold_1082
1084	20951	scaffold_1083
1085	20864	scaffold_1084
1086	20862	scaffold_1085
1087	20852	scaffold_1086
1088	20661	scaffold_1087
1089	20644	scaffold_1088
1090	20559	scaffold_1089
1091	20506	scaffold_1090
1092	20411	scaffold_1091
1093	20395	scaffold_1092
1094	20340	scaffold_1093
1095	20311	scaffold_1094
1096	20257	scaffold_1095
1097	20207	scaffold_1096
1098	20116	scaffold_1097
1099	19986	scaffold_1098
1100	19800	scaffold_1099
1101	19799	scaffold_1100
1102	19788	scaffold_1101
1103	19656	scaffold_1102
1104	19568	scaffold_1103
1105	19431	scaffold_1104
1106	19287	scaffold_1105
1107	19276	scaffold_1106
1108	19101	scaffold_1107
1109	19095	scaffold_1108
1110	19085	scaffold_1109
1111	19060	scaffold_1110
1112	19046	scaffold_1111
1113	19032	scaffold_1112
1114	19005	scaffold_1113
1115	18946	scaffold_1114
1116	18936	scaffold_1115
1117	18804	scaffold_1116
1118	18739	scaffold_1117
1119	18738	scaffold_1118
1120	18714	scaffold_1119
1121	18643	scaffold_1120
1122	18538	scaffold_1121
1123	18462	scaffold_1122
1124	18359	scaffold_1123
1125	18323	scaffold_1124
1126	18241	scaffold_1125
1127	18178	scaffold_1126
1128	18140	scaffold_1127
1129	18138	scaffold_1128
1130	17999	scaffold_1129
1131	17868	scaffold_1130
1132	17858	scaffold_1131
1133	17825	scaffold_1132
1134	17820	scaffold_1133
1135	17662	scaffold_1134
1136	17646	scaffold_1135
1137	17632	scaffold_1136
1138	17553	scaffold_1137
1139	17531	scaffold_1138
1140	17472	scaffold_1139
